PROB_NAME,MACHINE,PROB_SIZE,NUMBER_CORES,ALG_TIME,SPEED UP,TOTAL_TIME,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4096,16,0.00026355,0.4167218735,0.000300007,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8192,16,0.00027662,0.7449488724,0.0003125596,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16384,16,0.00028553,1.519475025,0.0003224262,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,32768,16,0.0003273,2.502935826,0.0003632628,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,65536,16,0.00038597,4.4642683,0.00042257,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,131072,16,0.00045876,7.024794185,0.000494569,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,262144,16,0.00070252,9.660026419,0.000738707,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,524288,16,0.00184094,6.96962242,0.0018771168,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,1048576,16,0.00195747,13.22873546,0.001994615,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,2097152,16,0.00338981,14.71103642,0.0034267844,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,4194304,16,0.00632339,14.67978987,0.0063609522,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,8388608,16,0.01182154,15.18740507,0.0118636992,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,16777216,16,0.02136279,16.91638539,0.0214052554,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,33554432,16,0.04056421,17.98362785,0.0406015086,,,,,
PI_TRAPEZOIDAL,Intel(R) Xeon(R) CPU E5-2640 v3 @ 2.60GHz,67108864,16,0.08098409,18.20458336,0.081021596,,,,,
